,AIRPORT,IATA,ICAO,CITY/PROVINCE,REGION,CLASSIFICATION,COORDINATES,AUTHORITY
61,Jolo Airport,JOL,RPMJ (RPWJ),Sulu,ARMM,Class 2 principal airport,06 03 11.0470 N 121 00 35.0304 E,CAAP
62,Liloy Airport,,RPMX,Zamboanga del Norte,IX,Community airport,08 08 55.4888 N 122 40 05.0504 E,CAAP
63,Pagadian Airport,PAG,RPMP (RPWP),Zamboanga del Sur,IX,Class 1 principal airport,07 49 43.5612 N 123 28 35.0435 E,CAAP
64,Sanag-Sanga (Tawi-Tawi) Airport,SGS,RPMN (RPWN),Tawi-Tawi,ARMM,Class 2 principal airport,05 02 40.3198 N 119 44 37.0212 E,CAAP
65,Siocon Airport,XSO,RPNO,Zamboanga del Norte,IX,Community airport,07 42 25.6080 N 122 09 53.0463 E,CAAP
66,Zamboanga International Airport,ZAM,RPMZ,Zamboanga City,IX,International airport,06 55 20.7147 N 122 03 34.6847 E,CAAP
67,Butuan Airport,BXU,RPME (RPWE),Butuan City,XIII,Class 1 principal airport,08 57 30.9114 N 125 29 30.0084 E,CAAP
68,Laguindingan (Cagayan de Oro) Airport,CGY,RP02,Misamis Oriental,X,Class 1 principal airport,08 36 38.9800 N 124 27 28.4400 E,CAAP
69,Camiguin Airport,CGM,RPMH,Camiguin,X,Class 2 principal airport,09 15 15.8457 N 124 42 13.0186 E,CAAP
70,Labo (Ozamiz) Airport,OZC,RPMO (RPWI),Misamis Occidental,X,Community airport,08 10 46.1163 N 123 50 31.3162 E,CAAP
71,Sayak (Siargao) Airport,IAO,RPNS (RPSI),Surigao del Norte,XIII,Class 2 principal airport,09 51 33.6565 N 126 00 55.2159 E,CAAP
72,Surigao Airport,SUG,RPMS (RPWW),Surigao del Norte,XIII,Class 2 principal airport,09 45 28.1412 N 125 28 51.8642 E,CAAP
73,Allah Valley Airport,AAV,RPMA (RPWA),South Cotabato,XII,Community airport,06 20 00.938 N 124 45 05.0206 E,CAAP
74,General Santos International Airport (Tambler),GES,RPMR,General Santos City,XII,International airport,06 03 29.2483 N 125 05 46.3131 E,CAAP
75,Bislig Airport,BPH,RPMF (RPWZ),Surigao del Sur,XIII,Community airport,08 11 18.4330 N 126 19 37.0296 E,CAAP
76,Francisco Bangoy (Davao) International Airport,DVO,RPMD (RPWD),Davao City,XI,International airport,07 07 31.8832 N 125 38 44.8021 E,CAAP
77,Mati Airport,MXI,RPMQ,Davao Oriental,XI,Community airport,06 57 20.7585 N 126 12 57.0162 E,CAAP
78,Tandag Airport,TDG,RPMW (RPWW),Surigao del Sur,XIII,Class 2 principal airport,09 03 55.2076 N 126 10 05.0425 E,CAAP
79,Awang (Cotabato) Airport,CBO,RPMC (RPWC),Maguindanao,ARMM,Class 1 principal airport,07 09 53.0483 N 124 12 37.2345 E,CAAP
80,Maria Cristina (Iligan) Airport,IGN,RPMI (RPWX),Lanao del Norte,X,Community airport,08 08 55.4697 N 124 12 35.0439 E,CAAP
81,Malabang Airport,MLP,RPMM (RPWM),Lanao del Sur,ARMM,Community airport,07 37 01.6091 N 124 03 20.5483 E,CAAP
82,Lumbia (Cagayan de Oro) National Airport,,RPML (RPWL),Cagayan de Oro City,X,,08 24 58.3641 N 124 36 40.8831 E,CAAP
83,Sorsogon (Gabao/Bacon) Airport,,RPLZ (RPXU),Sorsogon,V,Community airport,12 59 54.9217 N 124 01 05.0877 E,CAAP
84,Lubang Airport,LBX,RPLU (RPXG),Occidental Mindoro,IV-B,Community airport,13 51 30.7976 N 120 06 23.118 E,CAAP
85,San Fernando (Poro Point) Airport,SFE,RPUS,La Union,I,Community airport,16 35 40.2182 N 120 18 11.2422 E,PPMC
86,New Bicol (Daraga) Airport,,,Albay,V,Under Construction,,
87,New Bohol (Panglao) Ariport,,,Bohol,VII,Under Construction,,
88,Danilo Atienza Air Base (Sangley Point),SGL,RPLS,Cavite,IV-A,Military/Future Airport,14§ 29' 43 N 120§ 54' 14 E,PA
89,Wao Airport,,,Lanao del Sur,ARMM,Community airport,07 38 05 N 124 44 01 E,CAAP
