Route Id,Route Id,Dept Time,Arr Time,Frequency,Origin,Dest,Active
PR,2263,7:00:00,8:00:00,0b0000000,219,237,FALSE
PR,2265,8:40:00,9:30:00,0b1111111,219,237,TRUE
PR,2261,11:20:00,12:10:00,0b1111111,219,237,TRUE
PR,2267,12:20:00,13:10:00,0b0000000,219,237,FALSE
PR,,,,,,,
PR,2264,8:20:00,9:20:00,0b0000000,237,219,FALSE
PR,2266,9:50:00,10:40:00,0b1111111,237,219,TRUE
PR,2262,12:30:00,13:20:00,0b1111111,237,219,TRUE
PR,2268,13:30:00,14:20:00,0b0000000,237,219,FALSE
PR,,,,,,,
PR,,,,,Manila,Ozamiz,
PR,2889,5:05:00,6:40:00,0b1111111,219,272,TRUE
PR,,,,,,,
PR,2890,7:20:00,8:45:00,0b1111111,272,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Puerto Princesa,
PR,1197,14:45:00,16:00:00,0b0100000,219,228,TRUE
PR,2781,5:20:00,6:40:00,0b1111111,219,228,TRUE
PR,2785,13:10:00,14:30:00,0b1111111,219,228,TRUE
PR,2787,16:20:00,17:40:00,0b1111111,219,228,TRUE
PR,2787,17:30:00,18:50:00,0b1111111,219,228,FALSE
PR,,,,,,,
PR,1198,14:00:00,15:15:00,0b0000100,228,219,TRUE
PR,2782,7:20:00,8:35:00,0b1111111,228,219,TRUE
PR,2786,15:10:00,16:30:00,0b1111111,228,219,TRUE
PR,2788,18:20:00,19:40:00,0b1111111,228,219,TRUE
PR,2788,19:30:00,20:50:00,0b1111111,228,219,FALSE
PR,,,,,,,
PR,,,,,Manila,Roxas,
PR,2201,5:10:00,6:10:00,0b1111111,219,244,TRUE
PR,,,,,,,
PR,2202,6:50:00,7:45:00,0b1111111,244,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Surigao,
PR,2095,10:20:00,12:00:00,0b1111111,219,274,TRUE
PR,,,,,,,
PR,2096,12:40:00,14:20:00,0b1111111,274,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Tablas,
PR,2077,11:00:00,12:05:00,0b0010101,219,229,TRUE
PR,,,,,,,
PR,2078,12:25:00,13:30:00,0b0010101,229,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Tacloban,
PR,2981,4:45:00,6:00:00,0b1111111,219,260,TRUE
PR,2985,12:55:00,14:15:00,0b1111111,219,260,TRUE
PR,2987,15:30:00,16:45:00,0b1111111,219,260,TRUE
PR,,,,,,,
PR,2982,9:20:00,10:35:00,0b1111111,260,219,TRUE
PR,2986,14:55:00,16:15:00,0b1111111,260,219,TRUE
PR,2988,17:25:00,18:40:00,0b1111111,260,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Tagbilaran,
PR,2771,5:20:00,6:35:00,0b1111111,219,248,TRUE
PR,2773,9:20:00,10:35:00,0b1111111,219,248,TRUE
PR,2777,14:40:00,16:00:00,0b1111111,219,248,TRUE
PR,,,,,,,
PR,2772,7:15:00,8:30:00,0b1111111,248,219,TRUE
PR,2774,11:15:00,12:30:00,0b1111111,248,219,TRUE
PR,2778,16:40:00,17:55:00,0b1111111,248,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Tuguegarao,
PR,2014,14:00:00,15:15:00,0b1111111,219,214,TRUE
PR,,,,,,,
PR,2015,15:45:00,17:00:00,0b1111111,214,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Zamboanga,
PR,2993,4:05:00,5:45:00,0b1111111,219,269,TRUE
PR,2997,17:30:00,19:10:00,0b1111111,219,269,TRUE
PR,,,,,,,
PR,2994,6:25:00,7:55:00,0b1010101,269,219,TRUE
PR,2996,10:15:00,11:45:00,0b0101010,269,219,TRUE
PR,2998,19:55:00,21:35:00,0b1111111,269,219,TRUE
PR,,,,,,,
PR,,,,,Cebu,Bacolod,
PR,2289,15:10:00,15:55:00,0b1010100,246,240,TRUE
PR,,,,,,,
PR,2290,16:35:00,17:20:00,0b1010100,240,246,TRUE
PR,,,,,,,
PR,,,,,Cebu,Butuan,
PR,2361,8:40:00,9:25:00,0b1010101,246,270,TRUE
PR,,,,,,,
PR,2362,7:15:00,8:00:00,0b1010101,270,246,TRUE
PR,,,,,,,
